Stazione,Cod_staz,COMUNE,INDIRIZZO,PROVINCIA,Altezza,Id_Param,PARAMETRO,UM,Coord_X,Coord_Y,SR,LON_GEO,LAT_GEO,SR_GEO
GIARDINI MARGHERITA,7.000.014,BOLOGNA,VIALE BOTTONELLI,BO,43,5,PM10,ug/m3,687199.06080000009,4928179.7212000005,25832,11.35406170088398,44.482671138769533,4326
GIARDINI MARGHERITA,7.000.014,BOLOGNA,VIALE BOTTONELLI,BO,43,7,O3 (Ozono),ug/m3,687199.06080000009,4928179.7212000005,25832,11.35406170088398,44.482671138769533,4326
GIARDINI MARGHERITA,7.000.014,BOLOGNA,VIALE BOTTONELLI,BO,43,8,NO2 (Biossido di azoto),ug/m3,687199.06080000009,4928179.7212000005,25832,11.35406170088398,44.482671138769533,4326
GIARDINI MARGHERITA,7.000.014,BOLOGNA,VIALE BOTTONELLI,BO,43,111,PM2.5,ug/m3,687199.06080000009,4928179.7212000005,25832,11.35406170088398,44.482671138769533,4326
PORTA SAN FELICE,7.000.015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,5,PM10,ug/m3,685037.07620000001,4929939.7402999997,25832,11.327526717440112,44.499059983334519,4326
PORTA SAN FELICE,7.000.015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,8,NO2 (Biossido di azoto),ug/m3,685037.07620000001,4929939.7402999997,25832,11.327526717440112,44.499059983334519,4326
PORTA SAN FELICE,7.000.015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,9,NOX (Ossidi di azoto),ug/m3,685037.07620000001,4929939.7402999997,25832,11.327526717440112,44.499059983334519,4326
PORTA SAN FELICE,7.000.015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,10,CO (Monossido di carbonio),mg/m3,685037.07620000001,4929939.7402999997,25832,11.327526717440112,44.499059983334519,4326
PORTA SAN FELICE,7.000.015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,20,C6H6 (Benzene),ug/m3,685037.07620000001,4929939.7402999997,25832,11.327526717440112,44.499059983334519,4326
PORTA SAN FELICE,7.000.015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,38,NO (Monossido di azoto),ug/m3,685037.07620000001,4929939.7402999997,25832,11.327526717440112,44.499059983334519,4326
PORTA SAN FELICE,7.000.015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,111,PM2.5,ug/m3,685037.07620000001,4929939.7402999997,25832,11.327526717440112,44.499059983334519,4326
VIA CHIARINI,7.000.041,BOLOGNA,VIA CHIARINI,BO,56,5,PM10,ug/m3,681663.08380000014,4929852.7635999992,25832,11.285089594971216,44.499134335170289,4326
VIA CHIARINI,7.000.041,BOLOGNA,VIA CHIARINI,BO,56,7,O3 (Ozono),ug/m3,681663.08380000014,4929852.7635999992,25832,11.285089594971216,44.499134335170289,4326
VIA CHIARINI,7.000.041,BOLOGNA,VIA CHIARINI,BO,56,8,NO2 (Biossido di azoto),ug/m3,681663.08380000014,4929852.7635999992,25832,11.285089594971216,44.499134335170289,4326
DE AMICIS,7.000.002,IMOLA,VIALE DE AMICIS,BO,42,5,PM10,ug/m3,716749.99230000004,4914841.6700999998,25832,11.719711038978771,44.354466811944611,4326
DE AMICIS,7.000.002,IMOLA,VIALE DE AMICIS,BO,42,8,NO2 (Biossido di azoto),ug/m3,716749.99230000004,4914841.6700999998,25832,11.719711038978771,44.354466811944611,4326
DE AMICIS,7.000.002,IMOLA,VIALE DE AMICIS,BO,42,9,NOX (Ossidi di azoto),ug/m3,716749.99230000004,4914841.6700999998,25832,11.719711038978771,44.354466811944611,4326
DE AMICIS,7.000.002,IMOLA,VIALE DE AMICIS,BO,42,10,CO (Monossido di carbonio),mg/m3,716749.99230000004,4914841.6700999998,25832,11.719711038978771,44.354466811944611,4326
DE AMICIS,7.000.002,IMOLA,VIALE DE AMICIS,BO,42,38,NO (Monossido di azoto),ug/m3,716749.99230000004,4914841.6700999998,25832,11.719711038978771,44.354466811944611,4326
SAN PIETRO CAPOFIUME,7.000.027,MOLINELLA,VIA IDICE ABBANDONATO,BO,11,5,PM10,ug/m3,708044.22750000004,4947784.5691999998,25832,11.623854093048257,44.653280189470863,4326
SAN PIETRO CAPOFIUME,7.000.027,MOLINELLA,VIA IDICE ABBANDONATO,BO,11,7,O3 (Ozono),ug/m3,708044.22750000004,4947784.5691999998,25832,11.623854093048257,44.653280189470863,4326
SAN PIETRO CAPOFIUME,7.000.027,MOLINELLA,VIA IDICE ABBANDONATO,BO,11,8,NO2 (Biossido di azoto),ug/m3,708044.22750000004,4947784.5691999998,25832,11.623854093048257,44.653280189470863,4326
SAN PIETRO CAPOFIUME,7.000.027,MOLINELLA,VIA IDICE ABBANDONATO,BO,11,9,NOX (Ossidi di azoto),ug/m3,708044.22750000004,4947784.5691999998,25832,11.623854093048257,44.653280189470863,4326
SAN PIETRO CAPOFIUME,7.000.027,MOLINELLA,VIA IDICE ABBANDONATO,BO,11,38,NO (Monossido di azoto),ug/m3,708044.22750000004,4947784.5691999998,25832,11.623854093048257,44.653280189470863,4326
